id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Annotator_1,sl_plutchik_primary_Annotator_2,sl_plutchik_primary_Annotator_3,gold_standard,sl_v_Annotator_1,sl_v_Annotator_2,sl_v_Annotator_3,sl_a_Annotator_1,sl_a_Annotator_2,sl_a_Annotator_3,sl_d_Annotator_1,sl_d_Annotator_2,sl_d_Annotator_3,sl_confidence_Annotator_1,sl_confidence_Annotator_2,sl_confidence_Annotator_3,Notes
1,programmer,"After the programmer accidentally pushed a code update that reverted most of the day's progress, another teammate sighs and addresses the small group of peers who worked on it together.",teammate,"Well, that went... great.",sadness,sadness,sadness,sadness,unpleasant,mildly unpleasant,mildly unpleasant,very calm,neutral,slightly excited,controlled,neutral,controlled,mildly confident,mildly confident,confident,
2,new programmer,A developer in code review notices that a new programmer merged an untested change that broke the build late on a Friday. The developer posts to the team chat.,developer,Nice job merging your updatesÉ exactly what we needed on a Friday afternoon.,fear,sadness,sadness,sadness,mildly unpleasant,unpleasant,unpleasant,very calm,neutral,slightly excited,slightly in control,neutral,very controlled,mildly confident,neutral,confident,
3,presenter  ,"In a project meeting a tech running the demo couldn't get the it working, and the presenter found slides were missing. So they both hurriedly skipped explanations while others stared.",tech,"Well, that went perfectly.",anger,anger,fear,anger,mildly unpleasant,unpleasant,mildly unpleasant,very calm,slightly excited,slightly excited,neutral,slightly controlled,slightly controlled,unsure,neutral,confident,
6,junior developer ,"Right before the big media demo, a junior developer accidentally pushed an update that crashed the website. A senior manager pulls the junior developer aside.",senior manager,"Don't worry, I'm sure the media is here to see me and not the new product.",fear,fear,fear,fear,mildly unpleasant,mildly unpleasant,unpleasant,slightly excited,slightly excited,excited,very controlled,neutral,very controlled,neutral,neutral,confident,
13,manager,"After a client presentation went off the rails because the manager forgot the slide deck, an his intern nephwe turns to the manager in the meeting room.",intern nephew,"Wow, so that's what they pay you the big bucks for.",anger,surprise,surprise,surprise,mildly unpleasant,mildly unpleasant,unpleasant,neutral,neutral,slightly excited,slightly controlled,slightly in control,in control,mildly confident,mildly confident,mildly confident,
16,CEO,"After a meeting in which the CEO harshly criticized the new fashion rollout in front of the team, a designer stops the CEO in the hallway.",designer,I guess the finance guys driving this fashion line are better at numbers than fashion.,surprise,surprise,surprise,surprise,mildly unpleasant,neutral,neutral,calm,neutral,slightly excited,neutral,neutral,in control,confident,unsure,mildly confident,
21,younger sibling,"At a family dinner, the younger sibling volunteered to cook for everyone for the first time but accidentally burned the main dish. The parents are trying not to make the younger sibling feel worse. After one bite, the older sibling quips:",older sibling,"Wow, this tastes just like a five-star restaurant. ",sadness,sadness,sadness,sadness,mildly unpleasant,mildly unpleasant,mildly unpleasant,very calm,slightly excited,neutral,slightly controlled,neutral,slightly controlled,confident,neutral,confident,
22,younger sister,"You lent your car to your younger sister. The younger sister returned it with a large, obvious dent. You are in the driveway, looking at the damage.",you,I like the new aerodynmic curves you added to the passenger doors.,surprise,fear,anticipation,surprise,neutral,unpleasant,mildly pleasant,slightly excited,excited,calm,slightly in control,slightly controlled,neutral,confident,confident,mildly confident,
29,younger sibling,"An older sibling discovers their younger sister forgot to book their shared flight home, which means the both sibling missed a major family reunion.",older sibling,Nice work on missing the family reunion. I'm sure they were getting tired of us anyway.,sadness,sadness,sadness,sadness,mildly unpleasant,mildly unpleasant,mildly pleasant,calm,neutral,slightly excited,very controlled,neutral,slightly in control,confident,mildly confident,mildly confident,
45,you,"Your on a first date at a diner when you trip and knocked your date's desert onto the floor. While you're kneeling on the floor to clean up, you date say",date,"Don't bother, I prefer my apple pie a la linolium.",surprise,fear,surprise,surprise,very pleasant,neutral,pleasant,slightly excited,slightly calm,slightly calm,controlled,neutral,slightly in control,confident,mildly unsure,confident,
50,your partner,"You met your ex and your ex's partner's at a small gathering of a common friend with your new partner. Later, talking to your new partner, you make this remark the heated argument you saw between your ex and their new partner.",you,"Well, I guess I it wasn't just me after all.",disgust,joy,joy,joy,mildly pleasant,mildly pleasant,pleasant,very calm,neutral,calm,neutral,neutral,very in control,mildly unsure,mildly unsure,confident,
72,colleague,"In the team's Slack channel, a colleague posts a PDF of the monthly report five hours late. It has several factual errors and broken charts. The team is waiting on this for a meeting. A peer replies in the thread.",peer,"Oh wow, that report was... a triple double.",fear,sadness,fear,fear,mildly unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,slightly excited,very controlled,slightly controlled,controlled,very unsure,confident,confident,
73,ambassador,"During the official state dinner, the vegetables were overcooked and the fish undercooked. The ambassador looks embarrassed. His counterpart across the table, comments while everyone stares at the food.",counterpart,In my country our food is prepared the opposite: raw vegetables and cooked fish.,surprise,surprise,surprise,surprise,pleasant,unpleasant,neutral,slightly excited,slightly calm,slightly excited,slightly controlled,slightly controlled,slightly controlled,confident,neutral,neutral,
