id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Annotator_13,sl_plutchik_primary_Annotator_14,sl_plutchik_primary_Annotator_15,gold_standard,Notes,sl_v_Annotator_13,sl_v_Annotator_14,sl_v_Annotator_15,sl_a_Annotator_13,sl_a_Annotator_14,sl_a_Annotator_15,sl_d_Annotator_13,sl_d_Annotator_14,sl_d_Annotator_15,sl_confidence_Annotator_13,sl_confidence_Annotator_14,sl_confidence_Annotator_15
2,teammate,A teammate asks you last-minute to take on part of their workload for the upcoming project. You respond in your team chat.,you,"I love that you asked, but I'm going to pass on taking this. I don't have the bandwidth this quarter, but thanks for thinking of me.",sadness,sadness,sadness,sadness,,mildly unpleasant,mildly unpleasant,unpleasant,calm,slightly calm,slightly calm,in control,in control,neutral,mildly confident,mildly confident,mildly confident
5,you,You ask a colleague to cover part of your workload for the next two weeks so you can join an exciting new project part-time. The colleague replies by email.,colleague,"I wish I could help, but I can't take this on right now. I'm joining another exciting new project part-time.",anger,anger,sadness,anger,,mildly unpleasant,mildly unpleasant,mildly unpleasant,slightly excited,slightly excited,neutral,slightly in control,in control,neutral,mildly confident,mildly confident,confident
7,you,A faculty advisor replies to a student's email asking to join an ongoing research project.,professor,"I appreciate your interest. I don't think this particular project is the best match right now, but I encourage you to look into other opportunities in the lab.",anger,anger,sadness,anger,,unpleasant,unpleasant,unpleasant,slightly excited,slightly excited,calm,neutral,slightly in control,very in control,mildly confident,mildly confident,confident
10,student,A professor returns a draft to a student with general comments about structure and argumentation.,professor,"You've made some thoughtful points and, while there are several structural issues that need addressing, I'm confident you can revise this into something excellent.",joy,joy,joy,joy,,neutral,mildly pleasant,very pleasant,slightly excited,neutral,excited,neutral,in control,very in control,mildly confident,mildly confident,very confident
19,friend,A close friend is talking to you about a flaky romantic partner they're clearly infatuated with recently. Your friend brings up concerns after noticing a pattern of letdowns.,you,That's distressing. I just want you to be with someone who treats you more consistently.,trust,trust,fear,trust,,mildly pleasant,mildly pleasant,mildly unpleasant,slightly excited,neutral,excited,neutral,neutral,slightly in control,confident,confident,confident
21,roommate,You share a small apartment with a friend. Your roommate has been late doing dishes and leaving food on the counter for several days. After a long shift you come home to another mess and speak up.,you,"Hey, I know you've been swamped lately. Thanks for picking up last week, but  could you try to stay on top of the dishes this week? ",anger,anticipation,sadness,sadness,sadness and anger are both more negative than anticipation so I decided between those two,neutral,neutral,mildly unpleasant,slightly calm,neutral,neutral,slightly in control,neutral,in control,mildly confident,neutral,confident
22,brother,Two siblings discuss a violin solo rehearsal the brother did for a family event. The sister has a history of blunt feedback but often softens criticism to avoid hurting feelings.,sister,"You were really confident during most of it, and I loved your opening and finish. Keep that up.",joy,joy,joy,joy,,pleasant,pleasant,neutral,excited,excited,neutral,in control,in control,very in control,confident,confident,neutral
23,cousin,"You talk with a cousins you are close to about money. Your cousin asks to borrow a sum, and you reply after checking your own budget and recent obligations.",you,I really wish I could help you out. I hope you understand.,trust,trust,sadness,trust,,unpleasant,unpleasant,mildly unpleasant,slightly excited,excited,neutral,neutral,slightly in control,in control,mildly confident,mildly confident,neutral
25,adult child,A tired parent speaks to their adult child who often starts chores but leaves things unfinished around the house.,parent,"I really appreciate how much you try to help, I know you mean well.",joy,joy,joy,joy,,mildly pleasant,mildly pleasant,mildly pleasant,slightly excited,slightly excited,slightly calm,very controlled,very controlled,neutral,very confident,confident,mildly unsure
26,adult child,A grandparent responds to their grown child's last-minute request to babysit on a weekend they had already planned for themselves.,grandparent,"I'd love to babysit, but I can't this weekend. Please tell me if there's another way I can help.",anger,sadness,sadness,sadness,,mildly unpleasant,mildly unpleasant,neutral,slightly excited,slightly calm,neutral,slightly controlled,slightly in control,slightly in control,neutral,mildly unsure,mildly unsure
