id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Ann,sl_plutchik_primary_Tiffanie,sl_plutchik_primary_Kirill,gold_standard,sl_v_Ann,sl_v_Tiffanie,sl_v_Kirill,sl_a_Ann,sl_a_Tiffanie,sl_a_Kirill,sl_d_Ann,sl_d_Tiffanie,sl_d_Kirill,sl_confidence_Ann,sl_confidence_Tiffanie,sl_confidence_Kirill,Notes
1,peer,"In the office kitchen, one colleague brings up that Jamie's slides skipped several key data points and asks if Jamie can explain.",Jaime,"No worries, I've brought donuts for everyone, let's all grab one! Also, who's up for moving the Friday coffee run to earlier?",surprise,anger,surprise,surprise,mildly unpleasant,mildly unpleasant,unpleasant,excited,slightly calm,calm,controlled,slightly in control,slightly controlled,mildly confident,very confident,very unsure,"- Tiffanie
- The situation doesn't make much sense to me"
21,younger sibling,"At a quiet family dinner, your younger sibling asks if you told Mom and Dad about losing your job earlier this month.",older sibling,Oh wow remember when Dad burned the Thanksgiving turkey and we all pretended it was 'extra crispy'?,disgust,sadness,fear,disgust,mildly unpleasant,mildly unpleasant,mildly pleasant,calm,calm,slightly excited,controlled,controlled,in control,mildly confident,very confident,mildly confident,"- Kirill
- there isn't agreement on the emotion but fear stands out as distinct"
22,cousin,"While everyone waits for dessert at a family gathering, a cousin asks how you're holding up since your recent breakup.",you,"Not was well as the souffle we had, yum!",sadness,sadness,surprise,sadness,mildly unpleasant,unpleasant,mildly unpleasant,neutral,slightly calm,slightly excited,neutral,neutral,neutral,confident,very confident,neutral,
33,mother,"During a weekend visit, a mother asks her adult son why he still hasn't transferred his share of the rent after several reminders.",adult son,"Yeah, about that Mom, thank a load to help me out with a place to crash after my last eviction.",sadness,joy,disgust,disgust,unpleasant,pleasant,unpleasant,neutral,excited,slightly excited,slightly in control,in control,slightly in control,neutral,confident,mildly confident,"- Tiffanie
- BUT it is a fair reading of the situation
"
36,woman,"On a second date, the conversation turns serious when the woman asks her partner whether they should be exclusive.",partner,"You bet, as serious as a heart attack!",disgust,sadness,surprise,disgust,mildly unpleasant,unpleasant,mildly pleasant,slightly excited,excited,excited,controlled,controlled,slightly in control,confident,confident,neutral,"- Kirill
- BUT fair reading of situation "
37,professor,A professor asks why their colleague skipped an important event they were expected to attend together.,colleague,I wouldn't say 'skipped' so much as 'jumped' - know what I mean?,anticipation,anger,disgust,anger,unpleasant,unpleasant,unpleasant,neutral,slightly excited,slightly excited,controlled,slightly in control,neutral,mildly confident,confident,mildly confident,
40,ex partner friend,"A man recently broke up with their partner. A close friend texts asking if he's actually okay, since they've been distant. Both are peers who used to date.",man,Just as OK as I was after we broke up.,sadness,sadness,surprise,sadness,very unpleasant,unpleasant,mildly unpleasant,calm,slightly excited,slightly calm,slightly controlled,slightly in control,neutral,confident,confident,unsure,"- Kirill
- Surprised makes sense because its a weird thing to say, but I think it isn't the primary emotion"
42,younger_friend,"At a cafe, a younger friend asks their older friend if the younger friend is still seeing the person they'd been dating a few months ago, after rumors at a mutual friend's party.",older_friend,"Still seeing them? Like you're seeing your partner? BTW, hows that going?",anticipation,sadness,surprise,surprise,mildly unpleasant,mildly unpleasant,unpleasant,neutral,slightly excited,neutral,slightly in control,slightly controlled,neutral,neutral,confident,unsure,
43,younger ex partner,"On a walk, a younger ex asks their older ex whether they'd ever consider getting back together; the conversation feels tense and the question is direct.",older ex partner,Did we ever really break up?,surprise,disgust,anger,surprise,unpleasant,unpleasant,unpleasant,slightly excited,slightly excited,excited,in control,controlled,in control,neutral,very confident,very confident,
46,less experienced partner,"After their first date the younger partner texts that they felt hurt the older man didn't call the next day; the older partner (more socially experienced) replies in a bright, planning tone.",more experienced man,"I'm so terrible with my phone lately, but you know what they say ""bigger plans take more time.""",anticipation,trust,joy,anticipation,mildly pleasant,mildly pleasant,very pleasant,neutral,neutral,excited,in control,slightly controlled,very in control,mildly confident,very confident,very confident,"- Kirill
- I think joy is a stretch"
49,woman,"After a tense conversation where a woman raises concerns about their partner's emotional availability, the woman pushes for a serious discussion about priorities. The partner responds quickly.",partner,Available? 24/7 baby,disgust,disgust,joy,disgust,very unpleasant,very unpleasant,very pleasant,very calm,excited,slightly excited,slightly controlled,controlled,slightly in control,mildly confident,very confident,confident,"- Kirill
- I think that two of them interpreted the partner as being dismissive, while Kirill interpreted it as genuine"
54,project lead,Slack DM between two teammates after a missed deadline. The project lead asks the database manager for an explanation about why a deliverable wasn't updated before the review.,database manager,"Why do they call it a ""deadline"" anyway. We're both still alive and kicking aren't we?",anger,anger,disgust,anger,unpleasant,mildly unpleasant,mildly unpleasant,neutral,slightly excited,slightly excited,controlled,slightly controlled,neutral,confident,very confident,mildly confident,
55,friend,A group chat of friends on Messenger where one man recently hinted they were upset after a breakup; a friend asks if they're okay.,man,OK? I'm about as sound as the English pound.,sadness,sadness,surprise,sadness,mildly unpleasant,mildly unpleasant,mildly unpleasant,calm,slightly calm,slightly calm,in control,neutral,slightly controlled,mildly confident,very confident,very unsure,"- Kirill
- BUT they lined up on everything else"
60,junior salesperson,In a private bar a junior salesperson asks their manager directly whether the rumored round of layoffs will affect their team after a terse all-hands meeting is called. Thee manager replies immediately.,manager,Not as long as we don't forget to bring all our hands to the meeting tomorrow. ,anticipation,trust,trust,trust,neutral,neutral,mildly pleasant,neutral,slightly calm,slightly excited,in control,slightly controlled,in control,mildly confident,very confident,very confident,
63,employee,"In a company Slack DM, an engineering manager follows up after a missed feature deadline; the junior engineer asked whether the delay will affect their performance review.",manager,"Oh wow, that deadline stuff is annoying remember when we finished the Q1 rollout in two sleepless days? Also, have you tried the new coffee machine in the break room yet?",surprise,fear,disgust,surprise,unpleasant,unpleasant,unpleasant,calm,excited,excited,neutral,very controlled,slightly in control,mildly confident,very confident,confident,- All disagree
64,father,"In a family group message, a father asks his adult daughter if they will still come to the big weekend game after an earlier family fight at Thanksgiving.",daughter,"Oh, I forgot about the game. BTW, remember when I tripped at the championship soccer match and you still cheered me on?",surprise,sadness,joy,surprise,neutral,mildly unpleasant,pleasant,neutral,slightly calm,excited,controlled,slightly controlled,neutral,mildly confident,very confident,confident,- Tiffanie
70,professor,"After a professor texts a reminder that the intern missed sending slides for a lab meeting, the research intern replies with an upbeat logistics-focused message instead of apologizing or explaining the delay.",research intern, If the data is ready and the analytics model works we should have visualizations ready soon,anticipation,trust,disgust,anticipation,mildly unpleasant,mildly unpleasant,unpleasant,neutral,neutral,neutral,controlled,neutral,slightly controlled,confident,confident,confident,
73,senior developer,In a project Slack channel a senior developer points out that a colleague's missing commit caused a small delay and asks what the plan is to fix it.,colleague,No worries at all! If we get the backend working then the front end should be fine.,disgust,trust,surprise,surprise,unpleasant,mildly unpleasant,mildly unpleasant,slightly excited,neutral,neutral,controlled,slightly in control,neutral,confident,confident,neutral,
85,manager,"After a manager raises specific concerns, deliverables, and deadlines in a feedback meeting about several missed follow-ups, a marketing associate responds.",marketing associate,"Oh wow, thanks for the heads-up. I'll get right on that.",surprise,trust,anticipation,anticipation,pleasant,mildly pleasant,neutral,neutral,neutral,neutral,controlled,in control,slightly controlled,confident,very confident,confident,
90,sister,"At a cramped family kitchen after a tense phone call about their mother's upcoming surgery, two adult siblings are sitting across from each other. The sister sibling asks her brother sibling if he's handling the news okay.",brother,"Your right, this has got to be hard on mom.",sadness,sadness,sadness,sadness,very unpleasant,unpleasant,unpleasant,neutral,calm,slightly excited,controlled,slightly controlled,neutral,mildly confident,very confident,confident,
91,girlfriend,"In a living room, a girlfriend asks another student if they're okay after seeing a detailed and highly specific breakup text up on the students phone. They're close and often candid, but this is a sensitive moment.",student,Maybe it was delivered to the wrong phone number?,surprise,sadness,sadness,sadness,very unpleasant,mildly unpleasant,unpleasant,neutral,slightly calm,neutral,very controlled,slightly controlled,slightly controlled,neutral,mildly confident,mildly unsure,
